mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.4731733322143554,0.8029939788467182,0.012971305847167968,0.0007698900235423048,10,10,100,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 100}",0.6618272535616916,0.5557812251355702,0.6799591879310887,0.47572232614049614,0.5461360842397869,0.5838852154017267,0.07644502769415523,15
2.943268632888794,1.5546683524867349,0.02057051658630371,0.0016976042799726912,10,10,200,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 200}",0.6655199101025727,0.5597777540811528,0.6784314866512271,0.47516352545848406,0.5488980513147474,0.5855581455216369,0.07643939366117537,6
5.74284086227417,3.1063202907279996,0.03442740440368652,0.002625070872908758,10,10,400,"{'max_depth': 10, 'min_samples_leaf': 10, 'n_estimators': 400}",0.6656397546291877,0.564029465842309,0.6803190523987681,0.47156184024069336,0.5469772934474555,0.5857054813116827,0.07789699463197126,5
2.6334256172180175,1.3376826425815922,0.015210866928100586,0.0024190255457739976,20,1,100,"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 100}",0.6553741837517568,0.5625011178600428,0.6735664985496874,0.4090446029825139,0.460104821735525,0.5521182449759052,0.10436072855974006,48
5.282410764694214,2.8489731310284148,0.0273531436920166,0.003649308631829409,20,1,200,"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 200}",0.6560640836050293,0.5659409262729345,0.6742938619818108,0.41480614281149597,0.47049483169089157,0.5563199692724325,0.10134239768143447,46
10.82070279121399,6.025316471286633,0.04905695915222168,0.0059151197975277564,20,1,400,"{'max_depth': 20, 'min_samples_leaf': 1, 'n_estimators': 400}",0.6551931424554058,0.569942846318716,0.6764653519571848,0.41105504671178006,0.47331256042825276,0.5571937895742678,0.10235693427875968,43
2.1845205307006834,1.1376020859766962,0.013305759429931641,0.0014308592659646236,20,2,100,"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 100}",0.6618555709358731,0.566972738265066,0.6819575377695877,0.42700414552813604,0.4888200572653971,0.565322009952812,0.09788736387616086,26
4.760592842102051,2.6758030551534087,0.02403249740600586,0.002029164139626881,20,2,200,"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 200}",0.657845659128534,0.5681436978987151,0.6812855911174029,0.431547734652582,0.4875363217170555,0.565271800902858,0.09587731447828662,28
9.766144180297852,5.165976323064947,0.037724637985229494,0.008477982728022792,20,2,400,"{'max_depth': 20, 'min_samples_leaf': 2, 'n_estimators': 400}",0.6585185447389874,0.5693865047276543,0.6799315054324853,0.42607410707450555,0.4888685723314964,0.5645558468610259,0.09702538041021777,31
1.7610721111297607,0.9565006822596857,0.029226112365722656,0.03546090999579691,20,5,100,"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 100}",0.6695749247217351,0.5680088460021998,0.6816993733601163,0.4582642391716607,0.5440422927060138,0.5843179351923451,0.08310180119782237,7
4.194516992568969,2.177705451813426,0.02398076057434082,0.007426020113863134,20,5,200,"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 200}",0.6686668716715627,0.5691010536466526,0.6799888808130192,0.45906188445623397,0.5352540785221237,0.5824145538219183,0.08315942806352332,17
6.099045467376709,2.673779916091989,0.02655181884765625,0.0114317495873071,20,5,400,"{'max_depth': 20, 'min_samples_leaf': 5, 'n_estimators': 400}",0.6701008625544931,0.5676249039103406,0.681883147599579,0.45706223034135585,0.5435907443546435,0.5840523777520824,0.083676405849143,10
1.5920259952545166,0.8357898272415412,0.01483001708984375,0.00306871727403968,20,10,100,"{'max_depth': 20, 'min_samples_leaf': 10, 'n_estimators': 100}",0.6618272535616916,0.5557812251355702,0.6799244601325884,0.4754757438086148,0.5472049386257392,0.5840427242528408,0.07640191659919782,12
1.950286054611206,0.6322922582779597,0.01085057258605957,0.003563795535295046,20,10,200,"{'max_depth': 20, 'min_samples_leaf': 10, 'n_estimators': 200}",0.6655199101025727,0.5597777540811528,0.6784897773393465,0.4751251648018491,0.5499825448505395,0.5857790302350923,0.07636180093935335,3
2.9757044315338135,1.6351943348103577,0.01721811294555664,0.0025358495606547034,20,10,400,"{'max_depth': 20, 'min_samples_leaf': 10, 'n_estimators': 400}",0.6656397546291877,0.5640322275721529,0.6804154383321326,0.4716218379146052,0.5477591494908405,0.5858936815877838,0.07782546964838757,1
