date,et_mm,region,et_mm_fuera_de_rango,es_duplicado
2023-07-01,3.608386463830685,Cauca,False,False
2023-08-01,3.432898349454675,Cauca,False,False
2023-09-01,3.253361943888373,Cauca,False,False
2023-10-01,3.3900702253063444,Cauca,False,False
2023-11-01,3.726413091459565,Cauca,False,False
2023-12-01,3.519779967499,Cauca,False,False
2024-01-01,4.133659654029701,Cauca,False,False
2024-02-01,3.345244797998724,Cauca,False,False
2024-03-01,3.5867765052273173,Cauca,False,False
2024-04-01,3.661179729476321,Cauca,False,False
2024-05-01,3.5989882753189417,Cauca,False,False
2024-06-01,3.59798719447128,Cauca,False,False
2024-07-01,3.872908637731753,Cauca,False,False
2024-08-01,3.65866614489197,Cauca,False,False
2024-09-01,3.208505367155302,Cauca,False,False
2024-10-01,3.946613356010336,Cauca,False,False
2024-11-01,3.589856453479544,Cauca,False,False
2024-12-01,3.4427805698422955,Cauca,False,False
2025-01-01,3.695344319939151,Cauca,False,False
2025-02-01,3.257379740212817,Cauca,False,False
2025-03-01,3.2339492872030697,Cauca,False,False
2025-04-01,3.329800731797032,Cauca,False,False
2025-05-01,3.563423300463284,Cauca,False,False
2025-06-01,3.352213320233042,Cauca,False,False
2025-07-01,3.473250209307371,Cauca,False,False
2025-08-01,3.263715077722791,Cauca,False,False
2025-09-01,2.997056646610516,Cauca,False,False
2025-10-01,3.2733527276433163,Cauca,False,False
2025-11-01,3.376603274703219,Cauca,False,False
2025-12-01,3.68157144220629,Cauca,False,False
2026-01-01,2.9366583111244102,Cauca,False,False
2026-02-01,3.1138165760580354,Cauca,False,False
2026-03-01,3.484729263708811,Cauca,False,False
2026-04-01,3.462979627799813,Cauca,False,False
2026-05-01,3.5144769173671824,Cauca,False,False
2026-06-01,3.2373574163810908,Cauca,False,False
2026-07-01,3.2182504709689925,Cauca,False,False
2000-03-01,3.460627913173419,Narino,False,False
2000-04-01,3.5749569886985717,Narino,False,False
2000-05-01,3.6193327641520208,Narino,False,False
2000-06-01,3.829529465748032,Narino,False,False
2000-07-01,3.9646464150007112,Narino,False,False
2000-08-01,4.233669894156371,Narino,False,False
2000-09-01,4.132982243578034,Narino,False,False
2000-10-01,4.061277552543985,Narino,False,False
2000-11-01,4.069037557813132,Narino,False,False
2000-12-01,3.711314055733881,Narino,False,False
2001-01-01,3.5613661691097085,Narino,False,False
2001-02-01,3.830936956126358,Narino,False,False
2001-03-01,3.627523006858324,Narino,False,False
2001-04-01,3.9668528797289926,Narino,False,False
2001-05-01,3.7960215866077327,Narino,False,False
2001-06-01,4.066030679019465,Narino,False,False
2001-07-01,3.944528461889054,Narino,False,False
2001-08-01,3.89774382853238,Narino,False,False
2001-09-01,3.746282272195157,Narino,False,False
2001-10-01,3.84894155519842,Narino,False,False
2001-11-01,3.6208452195447327,Narino,False,False
2001-12-01,3.65601998446576,Narino,False,False
2002-01-01,4.102100442196215,Narino,False,False
2002-02-01,3.8069614108547114,Narino,False,False
2002-03-01,3.907879470089419,Narino,False,False
2002-04-01,3.6826751514820137,Narino,False,False
2002-05-01,4.047230634449859,Narino,False,False
2002-06-01,3.907795202815468,Narino,False,False
2002-07-01,4.090372792074172,Narino,False,False
2002-08-01,3.493497096690328,Narino,False,False
2002-09-01,3.71321513408428,Narino,False,False
2002-10-01,4.146760339477689,Narino,False,False
2002-11-01,4.029245092005542,Narino,False,False
2002-12-01,3.5211858963370086,Narino,False,False
2003-01-01,3.589246071910007,Narino,False,False
2003-02-01,3.531280765793964,Narino,False,False
2003-03-01,3.829494792902,Narino,False,False
2003-04-01,3.7530884977267305,Narino,False,False
2003-05-01,4.021394541070857,Narino,False,False
2003-06-01,4.099387964254905,Narino,False,False
2003-07-01,4.067827111390858,Narino,False,False
2003-08-01,3.689900493324052,Narino,False,False
2003-09-01,3.747541442382293,Narino,False,False
2003-10-01,3.988363446315876,Narino,False,False
2003-11-01,4.24302937942397,Narino,False,False
2003-12-01,3.7800923009001743,Narino,False,False
2004-01-01,3.887116180547344,Narino,False,False
2004-02-01,3.5012637727175413,Narino,False,False
2004-03-01,3.8586041036933945,Narino,False,False
2004-04-01,3.733442664054106,Narino,False,False
2004-05-01,4.002273061993353,Narino,False,False
2004-06-01,3.944559076820149,Narino,False,False
2004-07-01,4.159955694459884,Narino,False,False
2004-08-01,3.797737526172942,Narino,False,False
2004-09-01,3.965081678224901,Narino,False,False
2004-10-01,4.149891926482385,Narino,False,False
2004-11-01,3.890489229778797,Narino,False,False
2004-12-01,3.4217387256671263,Narino,False,False
2005-01-01,3.9474462498703424,Narino,False,False
2005-02-01,3.8971072646083913,Narino,False,False
2005-03-01,3.20959817749378,Narino,False,False
2005-04-01,4.086221830821142,Narino,False,False
2005-05-01,4.062704575020046,Narino,False,False
2005-06-01,4.048686927661056,Narino,False,False
2005-07-01,4.109666704879164,Narino,False,False
2005-08-01,3.574440304083213,Narino,False,False
2005-09-01,3.254663928674701,Narino,False,False
2005-10-01,3.832503753200381,Narino,False,False
2005-11-01,3.643252015827714,Narino,False,False
2005-12-01,3.1251840454074182,Narino,False,False
2006-01-01,3.5448514742824964,Narino,False,False
2006-02-01,3.611724931119469,Narino,False,False
2006-03-01,3.702873574860313,Narino,False,False
2006-04-01,4.012056976480207,Narino,False,False
2006-05-01,4.28218338151912,Narino,False,False
2006-06-01,4.101888889355322,Narino,False,False
2006-07-01,3.923758005733309,Narino,False,False
2006-08-01,3.926979944802068,Narino,False,False
2006-09-01,4.150192341323619,Narino,False,False
2006-10-01,4.182419525787521,Narino,False,False
2006-11-01,3.9016673716685775,Narino,False,False
2006-12-01,3.863856493471344,Narino,False,False
2007-01-01,3.89028309667612,Narino,False,False
2007-02-01,4.270956130336989,Narino,False,False
2007-03-01,3.7121548164587255,Narino,False,False
