date,dewpoint_c,lai_high,pet_mm,precip_mm,region,soil_moist_layer1,soil_moist_layer2,soil_moist_layer3,tmax_c,tmean_c,tmin_c
2005-07-03,16.865549764552274,3.834108137024583,-6.130445807975528,16.31184256271808,Narino,0.42707203348655953,0.433306993904414,0.42641555915702806,23.422051278776234,19.725916222182345,17.08837295730809
2005-07-04,17.341515421342987,3.8330307973158244,-5.154295435758197,20.735397006621408,Narino,0.4270605275653071,0.4336134657334816,0.43155802467143295,22.909069494664084,19.64719579175715,17.3301184248706
2005-07-05,17.774626324770995,3.831950550737547,-5.65754861158547,10.989639031773407,Narino,0.4243024192400611,0.4276779131293312,0.43311720138716125,23.435822198685475,20.175237184705352,17.9064782413132
2005-07-06,17.558701674305134,3.830873487870497,-5.623296522104236,13.093046972461504,Narino,0.4280565653956842,0.42913602115119576,0.43154936248632736,23.870591663294693,20.10958694209176,17.73367595480348
2005-07-07,17.26317137105438,3.829798046288112,-5.373709498054194,8.559212873305603,Narino,0.4271578847058298,0.42579232176372606,0.42757121978834695,22.94168388887617,19.956088329095213,17.89476220460215
2005-07-08,16.786412506225574,3.8287204573017033,-5.581929477377206,8.615517018925571,Narino,0.4278696274094462,0.42958187258493125,0.42629366300065746,22.787185076027534,19.713097030384098,17.477210552130362
2005-07-09,16.610040835242874,3.82764492853852,-5.9793424041156,24.600412574589118,Narino,0.4268066184078049,0.43119830624566163,0.42904488442221755,23.331377241872502,19.660149874249882,16.863898814897976
2005-07-10,16.579509079206314,3.8265687374162236,-6.778684506761214,7.073345591546224,Narino,0.41958464371192916,0.42393195658705013,0.42721282958162526,23.837384452998727,19.855841778110822,17.35880108776032
2005-07-11,16.244679138219794,3.8254873282165818,-7.165503568866101,14.813530625513307,Narino,0.4191502968481117,0.42508283367786576,0.4256321464568505,23.21651505421488,19.580656752284273,17.011457724395452
2005-07-12,16.455528429088687,3.824416292267436,-5.255032580375923,16.863591041506915,Narino,0.421088614365084,0.4251959877465716,0.4252904878509747,22.267980936092822,19.27195616770124,17.013773330840856
2005-07-13,16.47469243903532,3.8233362424307384,-5.653577934614286,25.21435101562509,Narino,0.42225191711402,0.4274068606882738,0.42653461481729205,22.725473456974218,19.070308216296652,16.507631959846844
2005-07-14,17.308670888601785,3.8222606415964138,-3.6958262502881167,26.653071145348353,Narino,0.4289650251995391,0.4279927827957105,0.42667134573625215,21.04600233750102,18.95861263056489,17.348934037985998
2005-07-15,17.05361662017501,3.821182550451139,-5.598033564642051,4.413867496209446,Narino,0.42780283805187136,0.4252969869376152,0.4233433113599003,23.228268386605606,19.39089975128873,17.134682774249573
2005-07-16,17.16224917992879,3.8186222288346308,-5.3638025396678,6.884343182066721,Narino,0.4252601729492388,0.42332256976637095,0.419348776648931,22.67325306929475,19.551247874615342,17.40012331403296
2005-07-17,17.700904184790105,3.816010170251123,-3.9071488410140747,7.765029577504039,Narino,0.4290561750546325,0.4243740844634891,0.41794737005526755,22.23709151732557,19.496030949860966,17.99638739663611
2005-07-18,17.715389959438195,3.813392631036353,-4.761375078357445,9.36152477018659,Narino,0.43164776877567795,0.42627605982100897,0.41744558296505335,22.882574985710022,19.815152852686698,18.04920487895989
2005-07-19,17.52851085811495,3.8107740646813144,-3.9287549098289256,14.188579525383336,Narino,0.43682236670440233,0.43240773154035866,0.4184506464261549,21.712159826963898,19.330931627088045,17.86838919602956
2005-07-20,17.25106951768359,3.808156273533636,-4.904715663644878,12.0706185495698,Narino,0.4354553633588214,0.43565838785383976,0.42213550097252106,22.378062651707616,19.32112716083796,17.521632003599336
2005-07-21,17.060410926244252,3.805544508292334,-5.190681830838879,8.362419138943608,Narino,0.4334390979664887,0.43488635121251146,0.42467911532800035,22.517043790060768,19.40583170219645,17.476592460885502
2005-07-22,16.724847904524452,3.8029241395264664,-5.390572666246928,6.401624681663439,Narino,0.4305928027873991,0.43235598088616695,0.4238699591545713,22.742143562547184,19.440803295459542,17.38391881745534
2005-07-23,16.47103931269635,3.8002987483500865,-7.027060714457511,7.122087140690719,Narino,0.4260425102088452,0.42969950759016096,0.423165756143779,23.549198406402123,19.739703819401985,16.67503979036553
2005-07-24,16.414743640530443,3.7976801830697924,-6.33538819324127,12.292459796414809,Narino,0.42299974817128044,0.4273957444806747,0.42335609388082596,23.417946644035037,19.735832565980548,17.07054584205367
2005-07-25,17.355699769063122,3.795065651560925,-5.54267791375621,6.6021982356337565,Narino,0.4210663188876335,0.42363122641007744,0.42206571656890624,23.23498573445008,20.05373955048124,18.045552840010146
2005-07-26,17.31364912219168,3.7924503006537122,-5.029807324238525,6.703779000243977,Narino,0.42459749157925564,0.4231266914731101,0.41987195552978135,22.789800590991415,19.98226490377081,18.035188630958707
