date,et_mm,region
2012-02-01,3.053535365326803,Cauca
2012-03-01,3.609410762391841,Cauca
2012-04-01,3.3010410993881205,Cauca
2012-05-01,3.394851450168912,Cauca
2012-06-01,3.5184125716621324,Cauca
2012-07-01,3.4360999468228868,Cauca
2012-08-01,3.2756879013864753,Cauca
2012-09-01,3.0079433585919357,Cauca
2012-10-01,3.5684959831797882,Cauca
2012-11-01,3.3974003017778225,Cauca
2012-12-01,3.5273304077158265,Cauca
2013-01-01,3.6774472353172656,Cauca
2013-02-01,3.336426413806852,Cauca
2013-03-01,3.5575721330202996,Cauca
2013-04-01,3.454494717871493,Cauca
2013-05-01,3.3280049116296335,Cauca
2013-06-01,3.9905871097965804,Cauca
2013-07-01,3.5624117664559463,Cauca
2013-08-01,3.273736370516972,Cauca
2013-09-01,3.418740268954594,Cauca
2013-10-01,3.577197197011727,Cauca
2013-11-01,3.52594381919475,Cauca
2013-12-01,3.6062376464685224,Cauca
2014-01-01,3.4199863777520303,Cauca
2014-02-01,3.143500661263851,Cauca
2014-03-01,3.4836743199060245,Cauca
2014-04-01,3.3359153010127565,Cauca
2014-05-01,3.6656162505065866,Cauca
2014-06-01,3.712831822004262,Cauca
2014-07-01,3.85184916652592,Cauca
2014-08-01,3.3141984805189435,Cauca
2014-09-01,3.0596247239985623,Cauca
2014-10-01,3.442526622112331,Cauca
2014-11-01,3.5635289897719438,Cauca
2014-12-01,3.7266738745731858,Cauca
2015-01-01,3.808305358739829,Cauca
2015-02-01,3.5017782926220966,Cauca
2015-03-01,3.5356595236683734,Cauca
2015-04-01,3.449817020668527,Cauca
2015-05-01,3.6402849030909845,Cauca
2015-06-01,3.73099194049281,Cauca
2015-07-01,3.3906377831668046,Cauca
2015-08-01,3.2828625792192385,Cauca
2015-09-01,3.202119919865859,Cauca
2015-10-01,3.400516136414499,Cauca
2015-11-01,3.577336817530896,Cauca
2015-12-01,4.2952463542477135,Cauca
2016-01-01,3.5962231893383674,Cauca
2016-02-01,3.1725447508494766,Cauca
2016-03-01,3.386365790497532,Cauca
2016-04-01,3.6507120835350784,Cauca
2016-05-01,3.781046923642331,Cauca
2016-06-01,3.5907933821642346,Cauca
2016-07-01,3.393475699468939,Cauca
2016-08-01,3.297357466549519,Cauca
2016-09-01,3.2103777757011676,Cauca
2016-10-01,3.8135319560768606,Cauca
2016-11-01,3.7484795351947047,Cauca
2016-12-01,3.3249493141562225,Cauca
2017-01-01,3.254732648486564,Cauca
2017-02-01,3.7689290134518063,Cauca
2017-03-01,3.419509823993429,Cauca
2017-04-01,3.564231908897511,Cauca
2017-05-01,3.5507771222318274,Cauca
2017-06-01,3.289485648469975,Cauca
2017-07-01,3.7031463021024456,Cauca
2017-08-01,3.2759346539438483,Cauca
2017-09-01,3.0272757414746345,Cauca
2017-10-01,3.2560495363957336,Cauca
2017-11-01,3.6098729826330636,Cauca
2017-12-01,3.560551851762514,Cauca
2018-01-01,3.2614979734508163,Cauca
2018-02-01,3.6333920349731184,Cauca
2018-03-01,3.5712145014183663,Cauca
2018-04-01,3.5606501425180603,Cauca
2018-05-01,3.4284671676263834,Cauca
2018-06-01,3.631215360510581,Cauca
2018-07-01,3.4701302711424336,Cauca
2018-08-01,3.487303345911958,Cauca
2018-09-01,3.1059838735371064,Cauca
2018-10-01,3.8647956573115283,Cauca
2018-11-01,3.336014352422981,Cauca
2018-12-01,3.9552026179270867,Cauca
2019-01-01,3.457488308963385,Cauca
2019-02-01,3.178175785800693,Cauca
2019-03-01,3.3727081051209202,Cauca
2019-04-01,3.447929054370507,Cauca
2019-05-01,3.4091259117354884,Cauca
2019-06-01,3.7578154387312073,Cauca
2019-07-01,3.5682609036324164,Cauca
2019-08-01,3.318840618429933,Cauca
2019-09-01,2.8695122829841537,Cauca
2019-10-01,3.2111952411038924,Cauca
2019-11-01,3.601095485828115,Cauca
2019-12-01,3.365496506158073,Cauca
2020-01-01,3.8139248211980807,Cauca
2020-02-01,3.5630178394295537,Cauca
2020-03-01,3.495219561978594,Cauca
2020-04-01,3.6368783611100968,Cauca
2020-05-01,3.6171429099380243,Cauca
2020-06-01,3.709863135101278,Cauca
2020-07-01,3.6119081538855355,Cauca
2020-08-01,3.675807299288601,Cauca
2020-09-01,3.4172975872754106,Cauca
2020-10-01,3.394502302197872,Cauca
2020-11-01,3.274487337228882,Cauca
2020-12-01,2.96751060879462,Cauca
2021-01-01,3.1550790928548795,Cauca
2021-02-01,3.4494299742287926,Cauca
2021-03-01,3.2162547193248745,Cauca
2021-04-01,3.5181289951048362,Cauca
2021-05-01,3.84316097385208,Cauca
2021-06-01,3.5213345328822707,Cauca
2021-07-01,3.8304227584392345,Cauca
2021-08-01,3.4590478718489783,Cauca
2021-09-01,3.4550334275191203,Cauca
2021-10-01,3.6018738215102335,Cauca
2021-11-01,3.448477705316086,Cauca
2021-12-01,3.4308748245736247,Cauca
2022-01-01,3.6094689634471417,Cauca
2022-02-01,3.4358801175382268,Cauca
2022-03-01,3.46933347743555,Cauca
2022-04-01,3.4393125297754965,Cauca
